customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges,no_phone_service,internetservice_none
0002-ORFBO,no,female,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one year,1,mailed check,"{""monthly"": 65.6, ""total"": ""593.3""}",0,0
0003-MKNFE,no,male,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month-to-month,0,mailed check,"{""monthly"": 59.9, ""total"": ""542.4""}",0,0
0004-TLHLJ,yes,male,0,0,0,4,1,0,fiber_optic,0,0,1,0,0,0,month-to-month,1,electronic check,"{""monthly"": 73.9, ""total"": ""280.85""}",0,0
0011-IGKFF,yes,male,1,1,0,13,1,0,fiber_optic,0,1,1,0,1,1,month-to-month,1,electronic check,"{""monthly"": 98.0, ""total"": ""1237.85""}",0,0
0013-EXCHZ,yes,female,1,1,0,3,1,0,fiber_optic,0,0,0,1,1,0,month-to-month,1,mailed check,"{""monthly"": 83.9, ""total"": ""267.4""}",0,0
0013-MHZWF,no,female,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month-to-month,1,credit card (automatic),"{""monthly"": 69.4, ""total"": ""571.45""}",0,0
0013-SMEOE,no,female,1,1,0,71,1,0,fiber_optic,1,1,1,1,1,1,two year,1,bank transfer (automatic),"{""monthly"": 109.7, ""total"": ""7904.25""}",0,0
0014-BMAQU,no,male,0,1,0,63,1,1,fiber_optic,1,0,0,1,0,0,two year,1,credit card (automatic),"{""monthly"": 84.65, ""total"": ""5377.8""}",0,0
0015-UOCOJ,no,female,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 48.2, ""total"": ""340.35""}",0,0
0016-QLJIS,no,female,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,"{""monthly"": 90.45, ""total"": ""5957.9""}",0,0
0017-DINOC,no,male,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two year,0,credit card (automatic),"{""monthly"": 45.2, ""total"": ""2460.55""}",1,0
0017-IUDMW,no,female,0,1,1,72,1,1,fiber_optic,1,1,1,1,1,1,two year,1,credit card (automatic),"{""monthly"": 116.8, ""total"": ""8456.75""}",0,0
0018-NYROU,no,female,0,1,0,5,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 68.95, ""total"": ""351.5""}",0,0
0019-EFAEP,no,female,0,0,0,72,1,1,fiber_optic,1,1,1,0,1,0,two year,1,bank transfer (automatic),"{""monthly"": 101.3, ""total"": ""7261.25""}",0,0
0019-GFNTW,no,female,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),"{""monthly"": 45.05, ""total"": ""2560.1""}",1,0
0020-INWCK,no,female,0,1,1,71,1,1,fiber_optic,0,1,1,0,0,1,two year,1,credit card (automatic),"{""monthly"": 95.75, ""total"": ""6849.4""}",0,0
0020-JDNXP,no,female,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one year,0,mailed check,"{""monthly"": 61.25, ""total"": ""1993.2""}",1,0
0021-IKXGC,no,female,1,0,0,1,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic check,"{""monthly"": 72.1, ""total"": ""72.1""}",0,0
0022-TCJCI,yes,male,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),"{""monthly"": 62.7, ""total"": ""2791.5""}",0,0
